title,content,publication_date,cleaned_content
Oak,"See also List of Quercus species.
An oak is a hardwood tree or shrub in the genus Quercus of the beech family. They have spirally arranged leaves, often with lobed edges, and a nut called an acorn, borne within a cup. The genus is widely distributed in the Northern Hemisphere; it includes some 500 species, both deciduous and evergreen. Fossil oaks date back to the Middle Eocene. Molecular phylogeny shows that the genus is divided into Old World and New World clades, but many oak species hybridise freely, making the genus's history difficult to resolve.
Ecologically, oaks are keystone species in habitats from Mediterranean semi-desert to subtropical rainforest. They live in association with many kinds of fungi including truffles. Oaks support more than 950 species of caterpillar, many kinds of gall wasp which form distinctive galls, roundish woody lumps such as the oak apple, and a large number of pests and diseases. Oak leaves and acorns contain enough tannin to be toxic to cattle, but pigs are able to digest them safely. Oak timber is strong and hard, and has found many uses in construction and furniture-making. The bark was traditionally used for tanning leather. Wine barrels are made of oak; these are used for aging alcoholic beverages such as sherry and whisky, giving them a range of flavours, colours, and aromas. The spongy bark of the cork oak is used to make traditional wine bottle corks. Almost a third of oak species are threatened with extinction due to climate change, invasive pests, and habitat loss.
In culture, the oak tree is a symbol of strength and serves as the national tree of many countries. In Indo-European and related religions, the oak is associated with thunder gods. Individual oak trees of cultural significance include the Royal Oak in Britain, the Charter Oak in the United States, and the Guernica Oak in the Basque Country."," This page was last edited on 17 February 2025, at 02:28 (UTC).",list quercus specie oak hardwood tree shrub genus quercus beech family spirally arrange leave lob edge nut call acorn borne cup genus widely distribute northern hemisphere include specie deciduous evergreen fossil oak date middle eocene molecular phylogeny show genus divide old world new world clade oak specie hybridise freely make genuss history difficult resolve ecologically oak keystone specie habitat mediterranean semidesert subtropical rainforest live association kind fungus include truffle oak support specie caterpillar kind gall wasp form distinctive gall roundish woody lump oak apple large number pest disease oak leave acorn contain tannin toxic cattle pig able digest safely oak timber strong hard find use construction furnituremake bark traditionally tan leather wine barrel oak age alcoholic beverage sherry whisky give range flavours colour aroma spongy bark cork oak traditional wine bottle cork oak specie threaten extinction climate change invasive pest habitat loss culture oak tree symbol strength serve national tree country indoeuropean related religion oak associate thunder god individual oak tree cultural significance include royal oak britain charter oak united states guernica oak basque country
Maple,"See either species grouped by sectionsalphabetical list of species
Acer is a genus of trees and shrubs commonly known as maples. The genus is placed in the soapberry family Sapindaceae.[1][2] There are approximately 132 species, most of which are native to Asia,[3] with a number also appearing in Europe, northern Africa, and North America. Only one species, Acer laurinum, extends to the Southern Hemisphere.[4] The type species of the genus is the sycamore maple Acer pseudoplatanus, one of the most common maple species in Europe.[5] Most maples usually have easily identifiable palmate leaves (with a few exceptions, such as Acer carpinifolium, Acer laurinum, and Acer negundo) and all share distinctive winged fruits. The closest relative of the maples is the small east Asian genus Dipteronia, followed by the more widespread genus Aesculus (buckeyes and horse-chestnuts).[1] Maple syrup is made from the sap of some maple species. It is one of the most common genera of trees in Asia. Many maple species are grown in gardens where they are valued for their autumn colour and often decorative foliage, some also for their attractive flowers, fruit, or bark.[6]
The closest relative of Acer is Dipteronia, which only has two living species in China, but has a fossil record extending back to the middle Paleocene in North America. The oldest known fossils of Acer are from the late Paleocene of Northeast Asia and northern North America, around 60 million years old. The oldest fossils of Acer in Europe are from Svalbard, dating to the late Eocene (Priabonian ~38–34 million years ago).[7]
Most maples or acers are trees growing to a height of 10–45 m (33–148 ft). Others are shrubs less than 10 meters tall with a number of small trunks originating at about ground level. Most species are deciduous, and many are renowned for their autumn leaf colours, but a few in southern Asia and the Mediterranean region are mostly evergreen. Most are shade-tolerant when young and are often riparian, understory, or pioneer species rather than climax overstory trees. There are a few exceptions such as sugar maple.[clarification needed] Many of the root systems are typically dense and fibrous, inhibiting the growth of other vegetation underneath them. A few species, notably Acer cappadocicum, frequently produce root sprouts, which can develop into clonal colonies.[5]"," This page was last edited on 4 March 2025, at 18:23 (UTC).",specie group sectionsalphabetical list species acer genus tree shrub commonly know maple genus place soapberry family approximately specie native number appear europe northern africa north america specie acer laurinum extend southern type specie genus sycamore maple acer pseudoplatanus common maple specie maple usually easily identifiable palmate leave exception acer carpinifolium acer laurinum acer negundo share distinctive wing fruit close relative maple small east asian genus dipteronia follow widespread genus aesculus buckeye maple syrup sap maple specie common genera tree asia maple specie grow garden value autumn colour decorative foliage attractive flower fruit close relative acer dipteronia live specie china fossil record extend middle paleocene north america oldest know fossil acer late paleocene northeast asia northern north america million year old old fossil acer europe svalbard date late eocene priabonian million year maple acer tree grow height m ft shrub meter tall number small trunk originate ground level specie deciduous renowned autumn leaf colour southern asia mediterranean region evergreen shadetolerant young riparian understory pioneer specie climax overstory tree exception sugar mapleclarification need root system typically dense fibrous inhibit growth vegetation underneath specie notably acer cappadocicum frequently produce root sprout develop clonal
Walnut,"A walnut is the edible seed of any tree of the genus Juglans (family Juglandaceae), particularly the Persian or English walnut, Juglans regia. They are accessory fruit because the outer covering of the fruit is technically an involucre and thus not morphologically part of the carpel; this means it cannot be a drupe but is instead a drupe-like nut.
After full ripening, the shell is discarded, and the kernel is eaten. Nuts of the eastern black walnut (Juglans nigra) and butternuts (Juglans cinerea) are less commonly consumed.
Walnuts are the round, single-seed stone fruits of the walnut tree. They ripen between September and November in the northern hemisphere. The brown, wrinkly walnut shell is enclosed in a husk.[1] Shells of walnuts available in commerce usually have two segments (but three or four-segment shells can also form). During the ripening process, the husk becomes brittle and the shell hard. The shell encloses the kernel or meat, which is usually in two halves separated by a membranous partition.[1] The seed kernels – commonly available as shelled walnuts – are enclosed in a brown seed coat which contains antioxidants. The antioxidants protect the oil-rich seed from atmospheric oxygen, preventing rancidity.[2]
Walnut trees are late to grow leaves, typically not doing so until more than halfway through the spring."," This page was last edited on 27 February 2025, at 14:55 (UTC).",walnut edible seed tree genus juglans family juglandaceae particularly persian english walnut juglans regia accessory fruit outer covering fruit technically involucre morphologically carpel mean drupe instead drupelike nut ripen shell discard kernel eat nut eastern black walnut juglans nigra butternut juglan cinerea commonly consume walnut round singlesee stone fruit walnut tree ripen september november northern hemisphere brown wrinkly walnut shell enclose shell walnut available commerce usually segment foursegment shell form ripen process husk brittle shell hard shell enclose kernel meat usually half separate membranous seed kernel commonly available shell walnut enclose brown seed coat contain antioxidant antioxidant protect oilrich seed atmospheric oxygen prevent walnut tree late grow leave typically halfway spring
Mahogany,"Mahogany is a straight-grained, reddish-brown timber of three tropical hardwood species of the genus Swietenia, indigenous to the Americas[1] and part of the pantropical chinaberry family, Meliaceae. Mahogany is used commercially for a wide variety of goods, due to its coloring and durable nature. It is naturally found within the Americas, but has also been imported to plantations across Asia and Oceania. The mahogany trade may have begun as early as the 16th century and flourished in the 17th and 18th centuries. In certain countries, mahogany is considered an invasive species.
Mahogany is wood from any of three tree species: Honduran or big-leaf mahogany (Swietenia macrophylla), West Indian or Cuban mahogany (Swietenia mahagoni), and Swietenia humilis. Honduran mahogany is the most widespread and the only genuine mahogany species commercially grown today. Mahogany is a valuable lumber used for paneling, furniture, boats, musical instruments, and other items. The United States is the leading importer of mahogany, while Peru is the largest exporter. Mahogany is the national tree of the Dominican Republic and Belize.
Swietenia species have been introduced in various countries outside the Americas since the 1800s, with many plantings becoming naturalized forests. All species of Swietenia are now listed by CITES and protected due to concerns over illegal logging and mismanagement. Mahogany species can crossbreed when they grow in proximity, and the hybrid between S. mahagoni and S. macrophylla is widely planted for timber.
The history of the American mahogany trade dates back to the 17th century when the wood was first noticed by Europeans during the Spanish colonization of the Americas. Mahogany became more popular in the 18th century when the British Parliament removed import duties on timber from British possessions, leading to increased exports to Europe and North America. Throughout the 18th and 19th centuries, mahogany from various regions was imported into Europe and North America, with Britain being the largest consumer.
By the late 19th century, African mahogany began to dominate the market, and by the early 20th century, the supply of American mahogany became scarcer. In response to concerns about the sustainability of mahogany, several species have been placed on CITES Appendices to regulate the trade."," This page was last edited on 4 March 2025, at 11:07 (UTC).",mahogany straightgraine reddishbrown timber tropical hardwood specie genus swietenia indigenous pantropical chinaberry family meliaceae mahogany commercially wide variety good coloring durable nature naturally find america import plantation asia oceania mahogany trade begin early century flourish century certain country mahogany consider invasive species mahogany wood tree specie honduran bigleaf mahogany swietenia macrophylla west indian cuban mahogany swietenia mahagoni swietenia humilis honduran mahogany widespread genuine mahogany specie commercially grow today mahogany valuable lumber panel furniture boat musical instrument item united states lead importer mahogany peru large exporter mahogany national tree dominican republic belize swietenia specie introduce country outside america planting naturalize forest specie swietenia list cite protect concern illegal logging mismanagement mahogany specie crossbreed grow proximity hybrid s mahagoni s macrophylla widely plant timber history american mahogany trade date century wood notice european spanish colonization america mahogany popular century british parliament remove import duty timber british possession lead increase export europe north america century mahogany region import europe north america britain large consumer late century african mahogany begin dominate market early century supply american mahogany scarcer response concern sustainability mahogany specie place cite appendix regulate trade
Cherry,"A cherry is the fruit of many plants of the genus Prunus, and is a fleshy drupe (stone fruit).
Commercial cherries are obtained from cultivars of several species, such as the sweet Prunus avium and the sour Prunus cerasus. The name 'cherry' also refers to the cherry tree and its wood, and is sometimes applied to almonds and visually similar flowering trees in the genus Prunus, as in ""ornamental cherry"" or ""cherry blossom"". Wild cherry may refer to any of the cherry species growing outside cultivation, although Prunus avium is often referred to specifically by the name ""wild cherry"" in the British Isles.
Prunus subg. Cerasus contains species that are typically called cherries. They are known as true cherries[1] and distinguished by having a single winter bud per axil, by having the flowers in small corymbs or umbels of several together (occasionally solitary, e.g. P. serrula; some species with short racemes, e.g. P. maacki), and by having smooth fruit with no obvious groove.[2] Examples of true cherries are:
Bush cherries are characterized by having three winter buds per axil.[2] They used to be included in Prunus subg. Cerasus, but phylogenetic research indicates they should be a section of Prunus subg. Prunus.[1] Examples of bush cherries are:"," This page was last edited on 29 December 2024, at 12:27 (UTC).",cherry fruit plant genus prunus fleshy drupe stone fruit commercial cherry obtain cultivar specie sweet prunus avium sour prunus cerasus cherry refer cherry tree wood apply almond visually similar flowering tree genus prunus ornamental cherry cherry blossom wild cherry refer cherry specie grow outside cultivation prunus avium refer specifically wild cherry british isle prunus subg cerasus contain specie typically call cherry know true distinguish have single winter bud axil have flower small corymb umbel occasionally solitary eg p serrula specie short raceme eg p maacki have smooth fruit obvious example true cherry bush cherry characterize have winter bud include prunus subg cerasus phylogenetic research indicate section prunus subg example bush cherry
Teak,"Teak (Tectona grandis) is a tropical hardwood tree species in the family Lamiaceae. It is a large, deciduous tree that occurs in mixed hardwood forests. Tectona grandis has small, fragrant white flowers arranged in dense clusters (panicles) at the end of the branches. These flowers contain both types of reproductive organs (perfect flowers). The large, papery leaves of teak trees are often hairy on the lower surface. Teak wood has a leather-like smell when it is freshly milled and is particularly valued for its durability and water resistance. The wood is used for boat building, exterior construction, veneer, furniture, carving, turnings, and various small projects.[citation needed]
Tectona grandis is native to south and southeast Asia, mainly Bangladesh, India, Indonesia, Malaysia, Myanmar, Thailand, and Sri Lanka, but is naturalised and cultivated in many countries in Africa and the Caribbean. Myanmar's teak forests account for nearly half of the world's naturally occurring teak.[3] Molecular studies show that there are two centres of the genetic origin of teak: one in India and the other in Myanmar and Laos.[4][5]
Teak is a large deciduous tree up to 40 m (131 ft) tall with grey to greyish-brown branches, known for its high-quality wood. Its leaves are ovate-elliptic to ovate, 15–45 cm (5.9–17.7 in) long by 8–23 cm (3.1–9.1 in) wide, and are held on robust petioles which are 2–4 cm (0.8–1.6 in) long. Leaf margins are entire.[6]
Fragrant white flowers are borne on 25–40 cm (10–16 in) long by 30 cm (12 in) wide panicles from June to August. The corolla tube is 2.5–3 mm long with 2 mm wide obtuse lobes. Tectona grandis sets fruit from September to December; fruits are globose and 1.2–1.8 cm in diameter.[6] Flowers are weakly protandrous in that the anthers precede the stigma in maturity and pollen is shed within a few hours of the flower opening.[7] The flowers are primarily entomophilous (insect-pollinated), but can occasionally be anemophilous (wind-pollinated).[8] A 1996 study found that in its native range in Thailand, the major pollinators were species in the bee genus Ceratina.[7]"," This page was last edited on 3 February 2025, at 05:56 (UTC).",teak tectona grandis tropical hardwood tree specie family lamiaceae large deciduous tree occur mixed hardwood forest tectona grandis small fragrant white flower arrange dense cluster panicle end branch flower contain type reproductive organ perfect flower large papery leave teak tree hairy low surface teak wood leatherlike smell freshly mill particularly value durability water resistance wood boat build exterior construction veneer furniture carve turning small projectscitation need tectona grandis native south southeast asia mainly bangladesh india indonesia malaysia myanmar thailand sri lanka naturalise cultivate country africa caribbean myanmar teak forest account nearly half world naturally occur molecular study centre genetic origin teak india myanmar teak large deciduous tree m ft tall grey greyishbrown branch know highquality wood leave ovateelliptic ovate cm long cm wide hold robust petiole cm long leaf margin fragrant white flower bear cm long cm wide panicle june august corolla tube mm long mm wide obtuse lob tectona grandis set fruit september december fruit globose cm flower weakly protandrous anther precede stigma maturity pollen shed hour flower flower primarily entomophilous insectpollinate occasionally anemophilous study find native range thailand major pollinator specie bee genus
Rosewood,"Rosewood is any of a number of richly hued hardwoods, often brownish with darker veining, but found in other colours.[1]  It is hard, tough, strong, and dense. True rosewoods come from trees of the genus Dalbergia, but other woods are often called rosewood. Rosewood takes a high polish and is used for luxury furniture-making, flooring, musical instruments, and turnery.
Genuine rosewoods belong to the genus Dalbergia. The pre-eminent rosewood appreciated in the Western world is the wood of Dalbergia nigra.[2] It is best known as ""Brazilian rosewood"",[3] but also as ""Bahia rosewood"". This wood has a strong, sweet smell, which persists for many years, explaining the name rosewood.[4]</ref></ref>[5]
Another classic rosewood comes from Dalbergia latifolia, known as (East) Indian rosewood or sonokeling (Indonesia). It is native to India and is also grown in plantations elsewhere in Pakistan (Chiniot).
Madagascar rosewood (Dalbergia maritima), known as bois de rose, is highly prized for its red color. It is overexploited in the wild, despite a 2010 moratorium on trade and illegal logging, which continues on a large scale.[6]
Throughout southeast Asia, Dalbergia oliveri is harvested for use in woodworking. It has a very fragrant and dense grain near the core, but the outer sapwood is soft and porous. Dalbergia cultrata,[7] variegated burgundy to light brown in color, is a blackwood timber sold as Burmese rosewood. Products built with rosewood-based engineered woods are sold as 'Malaysian rosewood' or as D. oliveri.[citation needed]
Some rosewood comes from Dalbergia retusa, also known as 'Nicaraguan rosewood' or as cocobolo.[8] Several species are known as Guatemalan rosewood or Panama rosewood: D. tucerencis, D. tucarensis, and D. cubiquitzensis.[9][10] Honduran rosewood, D. stevensonii[11] is used for marimba keys, guitar parts, clarinets and other musical and ornamental applications.[12]"," This page was last edited on 7 March 2025, at 05:28 (UTC).",rosewood number richly hue hardwood brownish dark veining find hard tough strong dense true rosewood come tree genus dalbergia wood call rosewood rosewood take high polish luxury furnituremake floor musical instrument turnery genuine rosewood belong genus dalbergia preeminent rosewood appreciate western world wood dalbergia well know brazilian bahia rosewood wood strong sweet smell persist year explain classic rosewood come dalbergia latifolia know east indian rosewood sonokele indonesia native india grow plantation pakistan chiniot madagascar rosewood dalbergia maritima know bois de rise highly prized red color overexploit wild despite moratorium trade illegal logging continue large southeast asia dalbergia oliveri harvest use woodworke fragrant dense grain near core outer sapwood soft porous dalbergia variegate burgundy light brown color blackwood timber sell burmese rosewood product build rosewoodbase engineer wood sell malaysian rosewood d olivericitation need rosewood come dalbergia retusa know nicaraguan rosewood specie know guatemalan rosewood panama rosewood d tucerencis d tucarensis d honduran rosewood d marimba keys guitar part clarinet musical ornamental
Ash,"Ash is the solid remnants of fires.[1] Specifically, ash refers to all non-aqueous, non-gaseous residues that remain after something burns. In analytical chemistry, to analyse the mineral and metal content of chemical samples, ash is the non-gaseous, non-liquid residue after complete combustion.
Ashes as the end product of incomplete combustion are mostly mineral, but usually still contain an amount of combustible organic or other oxidizable residues. The best-known type of ash is wood ash, as a product of wood combustion in campfires, fireplaces, etc. The darker the wood ashes, the higher the content of remaining charcoal from incomplete combustion. The ashes are of different types. Some ashes contain natural compounds that make soil fertile. Others have chemical compounds that can be toxic but may break up in soil from chemical changes and microorganism activity.
Like soap, ash is also a disinfecting agent (alkaline).[2] The World Health Organization recommends ash or sand as alternative for handwashing when soap is not available.[3] Before industrialization, ash soaked in water was the primary means of obtaining potash.
Ash occurs naturally from any fire that burns vegetation, and may disperse in the soil to fertilise it, or clump under it for long enough to carbonise into coal.
The composition of the ash varies depending on the product burned and its origin. The ""ash content"" or ""mineral content"" of a product is derived its incineration under temperatures ranging from 150 °C (302 °F) to 900 °C (1,650 °F).[4]"," This page was last edited on 17 February 2025, at 09:39 (UTC).",ash solid remnant specifically ash refer nonaqueous nongaseous residue remain burn analytical chemistry analyse mineral metal content chemical sample ash nongaseous nonliquid residue complete combustion ashe end product incomplete combustion mineral usually contain combustible organic oxidizable residue bestknown type ash wood ash product wood combustion campfire fireplace etc dark wood ashe high content remain charcoal incomplete combustion ashe different type ashe contain natural compound soil fertile chemical compound toxic break soil chemical change microorganism activity like soap ash disinfect agent world health organization recommend ash sand alternative handwash soap industrialization ash soak water primary mean obtain potash ash occur naturally fire burn vegetation disperse soil fertilise clump long carbonise coal composition ash vary depend product burn origin ash content mineral content product derive incineration temperature range c f c
Birch,"A birch is a thin-leaved deciduous hardwood tree of the genus Betula (/ˈbɛtjʊlə/),[2] in the family Betulaceae, which also includes alders, hazels, and hornbeams. It is closely related to the beech-oak family Fagaceae. The genus Betula contains 30 to 60 known taxa of which 11 are on the IUCN 2011 Red List of Threatened Species. They are typically short-lived pioneer species and are widespread in the Northern Hemisphere, particularly in northern areas of temperate climates and in boreal climates.[3] Birch wood is used for a wide range of purposes.
Birch species are generally small to medium-sized trees or shrubs, mostly of northern temperate and boreal climates.[4] The simple leaves are alternate, singly or doubly serrate, feather-veined, petiolate and stipulate. They often appear in pairs, but these pairs are really borne on spur-like, two-leaved, lateral branchlets.[5] The fruit is a small samara, although the wings may be obscure in some species. They differ from the alders (Alnus, another genus in the family) in that the female catkins are not woody and disintegrate at maturity, falling apart to release the seeds, unlike the woody, cone-like female alder catkins.
The bark of all birches is characteristically marked with long, horizontal lenticels, and often separates into thin, papery plates, especially upon the paper birch.[6]  Distinctive colors give the common names gray, white, black, silver and yellow birch to different species.[7]
The buds, forming early and full-grown by midsummer, are all lateral, without a terminal bud forming; the branch is prolonged by the upper lateral bud. The wood of all the species is close-grained with a satiny texture and capable of taking a fine polish; its fuel value is fair."," This page was last edited on 26 February 2025, at 21:51 (UTC).",birch thinleaved deciduous hardwood tree genus betula family betulaceae include alder hazel hornbeam closely related beechoak family fagaceae genus betula contain know taxa iucn red list threaten specie typically shortlive pioneer specie widespread northern hemisphere particularly northern area temperate climate boreal birch wood wide range purpose birch specie generally small mediumsize tree shrub northern temperate boreal simple leave alternate singly doubly serrate featherveined petiolate stipulate appear pair pair bear spurlike twoleave lateral fruit small samara wing obscure specie differ alder alnus genus family female catkin woody disintegrate maturity fall apart release seed unlike woody conelike female alder catkin bark birch characteristically mark long horizontal lenticel separate thin papery plate especially paper distinctive color common name gray white black silver yellow birch different bud form early fullgrown midsummer lateral terminal bud form branch prolong upper lateral bud wood species closegraine satiny texture capable take fine polish fuel value fair
Hickory,"Hickory is a common name for trees composing the genus Carya, which includes 19 species accepted by Plants of the World Online.[3]
Seven species are native to southeast Asia in China, Indochina, and northeastern India (Assam), and twelve are native to North America. A number of hickory species are used for their edible nuts or for their wood.
The name ""hickory"" derives from a Native American word in an Algonquian language (perhaps Powhatan). It is a shortening of pockerchicory, pocohicora, or a similar word, which may be the name for the hickory tree's nut, or may be a milky drink made from such nuts.[4] The genus name Carya is Ancient Greek: κάρυον, káryon, meaning ""nut"".
Hickories are temperate to subtropical forest trees with pinnately compound leaves and large nuts. Most are deciduous, but one species (C. sinensis, syn. Annamocarya sinensis) in southeast Asia is evergreen.[5]"," This page was last edited on 5 March 2025, at 20:58 (UTC).",hickory common tree compose genus carya include specie accept plant world seven specie native southeast asia china indochina northeastern india assam native north america number hickory specie edible nut wood hickory derive native american word algonquian language powhatan shortening pockerchicory pocohicora similar word hickory tree nut milky drink genus carya ancient greek κάρυον káryon mean nut hickory temperate subtropical forest tree pinnately compound leave large nut deciduous specie c sinensis syn annamocarya sinensis southeast asia
